N°Obs,1. Quel est votre ministère d'appartenance ?,2. Quelle est votre fonction ?,3. Précisez votre fonction,"4. Quel est le nom de votre direction, sous-direction ou service",5. Quelle est votre région (pour les administrations territorial,6. A1. Considérez-vous avoir eu rapidement les moyens de mobilis,7. A1a. Pour quelles raisons ?,8. A2. Dans quel délai avez-vous eu connaissance des moyens numé,9. A3. Comment notez-vous l'efficacité de vos moyens de télétrav,10. A4. Quelles initiatives complémentaires avez-vous prises pou,11. Messagerie du ministère,12. Messagerie autre (ex: gmail),13. Messagerie instantanée interministérielle (Tchap),14. Messagerie instantanée autre (ex: WhatsApp),15. Visio-conférence du ministère,16. Viso-conférence interministériel (WebConf),17. Visio-conférence autre (ex: Skype),18. Outils collaboratifs du ministère,"19. Outils collaboratifs interministériels (OSMOSE, PLANO, RESAN",20. Outils collaboratifs autres,21. Audio-conférence téléphonique,22. B2. Avez-vous eu recours à des ressources ou compétences add,"23. B2a. Si oui, lesquelles et comment les avez-vous activées ?",24. B3. A quelles principales difficultés avez-vous fait face po,25. C1. Considérez-vous que votre direction disposait d'une cult,26. C2. Quels moyens de communication internes avez-vous mis en,"27. C2a. Si ""autre"", lesquelles ?","28. C3. Avez-vous détecté des agents mis en difficulté, y compri",29. C3a. Que pouvez-vous en dire ?,30. C4. Entendez-vous conserver au-delà de la crise des pratique,"31. C4a. Si oui, lesquelles ?",32. C5. Que souhaitez-vous ajouter sur les impacts du numérique,33. Clé,34. Date de saisie,35. Date de dernière modification,36. Date de dernier enregistrement,37. Temps de saisie,38. Langue,39. Progression,40. Origine,41. Appareil utilisé pour la saisie
174,Interieur,Directeur.trice (territoriale),,DDT02,Hauts-de-France,Oui,,La 2ème semaine,3,accès des locaux aux télétravailleurs avant et après la plage fixe  ainsi que le samedi matin (3 premiers samedis) ; tests de différents outils de réunions à distance.,Très utile,Non utilisé,Inconnu,Inconnu,Non utilisé,Utile,Très utile,Inconnu,Inconnu,Utile,Très utile,Non,,Limitation des accès VPN (manque d'agilité de la DINSIC ? du SIDSIC ?),Non,Courriels / Lettre d'information;Web ou audio conférences,,Pas encore,,Oui,"Favoriser le télétravail, maintenir la lettre d'information","Attente : équipement pour développer plus largement le télétravail

Nous allons engager un retex : il y des marges de progrès sur le management à distance et l'accompagnement à distance (au moins 1 agents sur 150 a très mal vécu la situation et l'alerte a été très tardive).",2ULC-HS52,06/05/2020 11:18:47,,06/05/2020 11:28:26,579.4540953,FR,Terminé,Direct,PC
175,Interieur,Sous-directeur.trice (centrale),,dgpn,Île-de-France,Oui,,Dès la 1ère semaine,3,"ré-organisation du service
modalités de travail à distance",Très utile,Non utilisé,Non utilisé,Non utilisé,Très utile,Non utilisé,Non utilisé,Non utilisé,Inconnu,Non utilisé,Utile,Non,,Span : difficultés d’utilisation ou de connexion dues à la sur-utilisation de ce type d'outils,Oui,Autre,Téléphone,Non,,Oui,"Visio-conférences, avec mesure.",,DUWJ-WEKB,06/05/2020 11:10:13,,06/05/2020 11:32:31,1337.2876341,FR,Terminé,Direct,PC
176,Interieur,Directeur.trice (territoriale),,Direction interministérielle départementale des systèmes d'information et de communication,Pays de la Loire,Pas suffisamment,Nous n'avons pas pu anticiper la mise en place des postes Noemi : fonctionnement en équipes réduites débordées par les besoins urgents de toutes natures.,Dès la 1ère semaine,4,"Travail avec roulement hebdomadaire de 2 équipes de 3/4 agents.
Ces équipes ne se croisaient pas.
Échanges réguliers par mél ou audio-conférence, puis webconférence.
Télétravail avec postes Noemi pou MI, VPN associé pour les DDI.",Très utile,Non utilisé,Utile,Utile,Utile,Très utile,Non utilisé,Utile,Utile,Non utilisé,Très utile,Non,,"Engorgement des réseaux
Limitation d'accès aux infrastructures sous-dimensionnées",Oui,Courriels / Lettre d'information;Web ou audio conférences,,Pas encore,,Je ne sais pas encore,,"Noemi offre une réponse opérationnelle de qualité pour faire face à ce genre de crise sanitaire.
Il va de soi que le renouvellement du parc se fera désormais en dotant chaque agent d'un poste Noemi.",KN4B-Y5LZ,06/05/2020 11:14:50,,06/05/2020 11:35:42,1252.0398399,FR,Terminé,Direct,PC
177,Interieur,Directeur.trice (territoriale),,DDPP,Auvergne-Rhône-Alpes,Pas suffisamment,"Nombre d'ordinateurs portables largement insuffisant
Paramétrage de VPN supplémentaires très compliqué à mettre en oeuvre (partage de connexion avec d'autres attributaires France entière)",Jamais,1,"L'activité de contrôle de la DDPP étant difficilement télétravaillable, seules des demandes très spécifiques ont été traitées. Pour les agents non équipés du matériel de l'administration, certains ont réussi à procéder à des contrôles internet et à de la veille, via leurs ordinateurs personnels et par les téléphones portables dont ils sont dotés par ma structure.",Non utilisé,Non utilisé,Non utilisé,Non utilisé,Non utilisé,Non utilisé,Non utilisé,Non utilisé,Non utilisé,Non utilisé,Très utile,Non,,"Les  chefs de service ont eu des difficultés à manager leurs équipes à distance et à être un relai efficace pour l'équipe de direction.
A noter également que cette crise a mis en évidence le manque criant d'autonomie  d'un grand nombre d'agents qui ont tout attendu de leur encadrement sans être force de proposition.",Oui mais insuffisamment,Courriels / Lettre d'information,,Pas encore,,Je ne sais pas encore,,,DNV8-K6VU,06/05/2020 11:24:33,,06/05/2020 11:36:44,731.2683253,FR,Terminé,Direct,PC
178,Interieur,Directeur.trice (territoriale),,DDCSPP,Grand Est,Pas suffisamment,Manque de moyens informatiques,Jamais,2,Achats d'ordinateur. Achats de téléphone. Achats de clefs usb dans 'à semaine precedant le confinement,Très utile,Non utilisé,Pas utile,Pas utile,Pas utile,Pas utile,Très utile,Inconnu,Non utilisé,Non utilisé,Très utile,Non,,Réseau saturé et donc impossible de se loguer à distance,Oui mais insuffisamment,Courriels / Lettre d'information;Web ou audio conférences,,Non,,Oui,"Audio conférence
Télétravail","Cruel manque de moyens informatiques
Outil de contacts à distance ministeriel pas assez efficace donc recours à ZOOM très performant. 
Forte limitation des réseaux à distance",2LKT-LE2Y,06/05/2020 11:31:19,,06/05/2020 11:37:15,356.1722328,FR,Terminé,Direct,Smartphone
179,Interieur,Directeur.trice (territoriale),,DDCSPP MAyenne,Pays de la Loire,Oui,,Dès la 1ère semaine,4,audio conf hebdo,Très utile,Non utilisé,Non utilisé,Non utilisé,Non utilisé,Non utilisé,Non utilisé,Non utilisé,Non utilisé,Non utilisé,Très utile,Non,,difficulté d'accès au serveur et aux applications métier à distance,Oui mais insuffisamment,Courriels / Lettre d'information,,Oui,garde d'enfants à domicile + télétravail avec des outils qui ne sont pas toujours opérationnels = gros stress,Je ne sais pas encore,,"une culture dédramatisée du teletravail 
un assouplissement des conditions ( anciennement contraignantes) du télétravail",34S3-T3ZP,06/05/2020 11:32:49,,06/05/2020 11:38:06,316.487027,FR,Terminé,Direct,PC
180,Interieur,Directeur.trice (territoriale),,Direction Départementale des Territoires,Bourgogne-Franche-Comté,Oui,,Dès la 1ère semaine,3,"​- Espaces de travail avec l'outil régional ""TransNum""
- Souscription à un abonnement à un service de conférence web et audio d'Orange
- CODIR audio devenu hebdomadaire (tous les 15 jours habituellement)
- lettre hebdomadaire rendant compte à la fois de l'actualité et essayant de faire du lien avec les agents
- planification et suivi de la situation des agents à la demi journée
- enquête auprès de tous les agents sur les conditions de travail pendant la période de confinement",Très utile,Non utilisé,Non utilisé,Non utilisé,Non utilisé,Très utile,Non utilisé,Non utilisé,Très utile,Très utile,Très utile,Non,,"Saturation de l'outil JITSI
Limitation des accès VPN",Oui mais insuffisamment,Courriels / Lettre d'information;Enquête en ligne;Réseau social;Web ou audio conférences,,Oui,"Agents avec un sentiment d'isolement - contacts pris avec l'assistante sociale. Mais difficultés sur le caractère non-télétravaillable des missions conjugué avec la vulnérabilité des agents (""à risque"" COVID)",Je ne sais pas encore,,,MUS7-WGJQ,06/05/2020 11:29:56,,06/05/2020 11:39:19,563.143565,FR,Terminé,Direct,PC
181,Transition Ecologique et Solidaire,Chef.fe de service (territoriale),,"DDT89, service aménagement et appui aux territoires",Bourgogne-Franche-Comté,Pas suffisamment,"Pas d'accès VPN
recherche des outils de communication en ligne à caler entre équipe.
Chaque partenaire utilise son propre outil : aucune cohérence, aucun outil de visio ou de téléphonie réellement validé (mais outils ""conseillés"").",La 2ème semaine,2,"Récupération in-extrémis de tous les téléphones portables des agents
Demande à tous les agents de faire une vielle téléphonique et messagerie
Réunion téléphonique tous les mardis avec l'équipe managériale et chargés de mission
Contact téléphonique hebdomadaire une fois par semaine avec tous les agents
Mise en place de fils de ""Discussion"" sous Mélanie (équipe managérial + tout agent)
test utilisation ""document"" sous Mélanie
Permanence 1 à 2 fois par semaine en DDT pour transfert documents et courriers aux équipes
Permanence 2 fois par semaine de 2 agents ADS et 1 agent fiscalité pour instruire les dossiers les plus urgents ou sensibles.
Rédaction d'une fiche d'organisation et des missions suivis, avec information à tous les agents (pour expliquer ce que les uns et les autres fond)",Très utile,Non utilisé,Non utilisé,Non utilisé,Non utilisé,Utile,Non utilisé,Utile,Inconnu,Non utilisé,Très utile,Non,,"Visio totalement inutilisable.
Chacun propose son propre outil (Jitsi, Skype, Webconf, google meet, WhatsApp, etc.)",Oui mais insuffisamment,Courriels / Lettre d'information,,Oui,"Les agents ont essentiellement utilisé leurs ordinateurs personnels, parfois assez vieux (une panne pour un agent - il a fallu trouver un ordinateur professionnel pour dépanner), plus de cartouche d'encre pour un autre (cheffe d'unité) alors qu'il est difficile de s'en procurer), accès Internet ou téléphonie mobile de mauvaise qualité pour certains agents vivant en milieu rural.",Oui,"Après le 11 mai, 2/3 des agents restent en télétravail, donc même focntionnement.
Sinon, après retour complet à la normal : 
Conservation des fils de ""Discussion"" sous Mélanie (équipe managérial + tout agent)
Utilisation ""document"" sous Mélanie, si maitrise complète de l'outil","Le temps de travail par management à distance est particulièrement chronophage. On a l'impression d'avoir passé ses journées au téléphone.
Importance de conserver le contact avec tous les agents. Les appels téléphoniques deviennent de plus en plus long : les agents ont besoin de parler et de contact
Importance d'une réunion hebdomadaire avec l'équipe managériale du service.
Certains agents, avec très peu de charge de travail possible en télétravail ""dégradé"" (ADS et fiscalité) se sont sentis complètement abandonné.",P4WR-Z9GL,06/05/2020 11:31:26,,06/05/2020 11:51:09,1183.1615316,FR,Terminé,Direct,PC
182,Agriculture et Alimentation,Chef.fe de service (territoriale),,Santé et Protection Animales,Bretagne,Oui,,Dès la 1ère semaine,3,"Mise en place d'un groupe WhatsApp, utilisation d'Osmose, visio conférences via Zoom",Très utile,Non utilisé,Non utilisé,Très utile,Pas utile,Pas utile,Très utile,Pas utile,Utile,Non utilisé,Utile,Non,,"Absence d'accès au serveur, problème de lenteurs de connexion
Pas d'ordinateur portable pour tous les agents",Oui mais insuffisamment,Courriels / Lettre d'information;Réseau social;Web ou audio conférences,,Pas encore,,Oui,"Augmentation du télétravail, visio conférences",,TQ93-GE2W,06/05/2020 11:46:46,,06/05/2020 11:52:08,322.6184238,FR,Terminé,Direct,PC
183,Culture,Chef.fe de mission / département / bureau (centrale),,Stratégie et Modernisation,,Pas suffisamment,"Pas d'outil de visioconférence disponible en mars, pas du numéro de conférence téléphonique attitré, difficultés réseau au démarrage pour connexion en VPN",Dès la 1ère semaine,3,,Très utile,Non utilisé,Utile,Non utilisé,Inconnu,Non utilisé,Utile,Inconnu,Non utilisé,Non utilisé,Très utile,Oui,Support utilisateurs informatique,"​- Absence d'outil de visioconférence intégré à la messagerie Outlook
- Absence de casque / micro pour travailler en audio / visio
- Absence d'outil collaboratif type Slack",Oui mais insuffisamment,Courriels / Lettre d'information,,Pas encore,,Je ne sais pas encore,,"Gros besoin d'investissement au ministère de la Culture: en priorité en administration déconcentrée, mais aussi en central.
Cette crise a mis en lumière les années de retard au ministère, c'est la priorité avant de parler d'autre chose.",3V62-8N8N,06/05/2020 11:43:19,,06/05/2020 11:56:22,782.8851122,FR,Terminé,Direct,PC
184,Interieur,Autre,Préfet,Préfecture,Normandie,Oui,,Dès la 1ère semaine,4,"Accès sécurisé et ergonomique à toutes les ressources de travail depuis un poste distant, professionnel ou personnel",Très utile,Non utilisé,Utile,Utile,Pas utile,Pas utile,Pas utile,Utile,Inconnu,Inconnu,Très utile,Non,,,Oui mais insuffisamment,Courriels / Lettre d'information;Web ou audio conférences,,Non,,Oui,"Audioconférence
Diffusion large mais mieux pilotée des outils de télétravail","On a gagné cinq ans : ce qui était impossible ou impensable il y a trois mois est devenu possible.
Ne perdons pas cinq ans de plus : 
- systématisation du poste de travail distant, sécurisé et ergonomique, pour chaque agent de l'Etat, ATAWADAS
- réflexion approfondie sur le BYOB
- interministérialisation complète des outils",6MPR-LEYM,06/05/2020 11:53:32,,06/05/2020 12:04:52,680.6485559,FR,Terminé,Direct,PC
185,Interieur,Chef.fe de service (territoriale),,bureau de la représentation de l’État et de la communication interministérielle,Provence-Alpes-Côte d'Azur,Pas suffisamment,Manque de poste span et de poste noemie pour équiper les agents de la communication particulièrement mobilisés durant la crise. La situation a commencé à s'améliorer au bout d'un mois. Nomade 2 a équipé tous les agents et ils ont pu travailler avec leur propre équipement personnel.,Dès la 1ère semaine,4,"Création d'une boucle whattsap pour garder un contact quotidien avec les agents. Par ailleurs, le service s'est organisé pour que la moitié de l'effectif puisse bénéficier du télétravail un jour sur deux. Réunions en audio conférence.",Très utile,Non utilisé,Non utilisé,Très utile,Très utile,Non utilisé,Non utilisé,Inconnu,Inconnu,Non utilisé,Très utile,Non,,"Dans un premier temps, l'équipe a souffert d'un sous-équipement en outil informatique de télétravail, un seul poste span pour 5 agents. Par la suite il a été constaté un manque de réactivité du réseau avec le poste span. Au bout d'un moins la situation a commencé à se fluidifier avec un poste Noémie pour mon adjointe et une connexion span un peu plus réactive. Depuis une semaine, je dispose d'un poste Noémie et le span va être affecté, dès la création de la clé token à un des agents du service obligé de travailler à 100% en télétravail du fait de sa vulnérabilité.",Non,Courriels / Lettre d'information;Web ou audio conférences;Autre,boucle whatt'sapp,Non,,Je ne sais pas encore,,"Cette crise a amené les services du ministère de l'intérieur à déployer tambour battant le télétravail. Une anticipation de l'évolution de cette nouvelle façon de travailler, par ailleurs largement diffusée dans les DDI, aurait permis aux managers de mieux s'organiser rapidement avec leurs équipes. Le faible développement du télétravail a contraint les managers à travailler simultanément sur la gestion de la crise ainsi que sur l'organisation et la gestion de leur équipe en mode télétravail. Le plan de continuité des services sur lequel les managers ont été amenés à travailler devrait intégrer ce volet ""organisation du télétravail"". Des formations au management du télétravail et à l'organisation à la maison en tant que télétravailleur seraient les bienvenues. Jusqu'à présent les agents du ministère de l'intérieur regardaient d'un air distrait les propositions de formation interministérielles sur le sujet, les outils n'ayant pas été réellement déployés dans les services.",WTHT-6TC6,06/05/2020 11:46:39,,06/05/2020 12:08:22,1303.042522,FR,Terminé,Direct,PC
186,Interieur,Directeur.trice (centrale),,Service Central de la Police Technique et Scientifique,Auvergne-Rhône-Alpes,Non,Manque d'ordinateurs portables et surtout de solutions SPAN ou NOEMI (11 solutions pour un service de 370 personnes !),Dès la 1ère semaine,2,"La bonne volonté de près de 250 agents qui ont accepté d'installer NOMADE2 sur leurs matériels personnels avec la difficulté de ne pouvoir accéder qu'à ses mails et pas à ses archives numériques. 
Une centaine d'autres bénéficient de tablettes NEO et de téléphones Hespéris (dont l'usage pour le télétravail est cependant limité en raison de la taille des écrans et de l'absence totale de logiciels de bureautique).
Plannings hebdomadaires de travail individualisés, contrôles et CR en fin de chaque semaine.
Logiciel de réservation des salles de visio-conférence en raison de la forte demande et établissement de règles d'usage (Ex :si 2 personnes maxi : usage de COMU, au-delà de 2 personnes usage de la salle visio).",Très utile,Non utilisé,Non utilisé,Très utile,Très utile,Très utile,Très utile,Utile,Utile,Non utilisé,Utile,Non,,Limitation des volumes de connexion et insuffisance du débit RIE.,Oui mais insuffisamment,Courriels / Lettre d'information;Site Web,,Oui,Certains agents ne sont pas du tout en capacité de télé travailler par manque d'intérêt (voire de maîtrise) pour les outils numériques ad hoc.,Oui,"Indubitablement il y a une demande de la part des agents. 
Les fonctions supports sont celles qui dans un premier temps vont pouvoir bénéficier d'une extension du travail à distance, dans la mesure où l'activité de l'agent est mesurable, programmable et aisément contrôlable.","La culture du ""présentiel ""de la PN va être fortement remise en cause pour les fonctions ""support"", dans un premier temps, en raison de l'attente forte des agents dont certains ont découvert le travail à distance au cours de cette période de confinement.
C'est en fait toute une acculturation au management à distance qu'il faut revoir à tous les niveaux hiérarchiques.
Une nécessaire mise à niveau dans l'affectation de matériels et outils numériques en volume mais aussi l'accès facilité aux applications sécurisées du ministère depuis ""l'extérieur"", la capacité du RIE à supporter de très hauts débits (vidéos, etc...) et enfin une capacité d'archivage numérique sécurisé à distance augmentée.",Y742-YGA6,06/05/2020 10:57:41,,06/05/2020 12:10:37,4376.1305233,FR,Terminé,Direct,PC
187,Interieur,Directeur.trice (territoriale),,DDT de la Mayenne,Pays de la Loire,Oui,,Dès la 1ère semaine,4,"lien quasi quotidien chefs des unités avec agents en télétravail, lien quotidien chefs de services et chefs d'unité, lettre hebdomadaire direction aux agents.",Très utile,Non utilisé,Non utilisé,Pas utile,Non utilisé,Utile,Non utilisé,Utile,Utile,Non utilisé,Très utile,Non,,"Outils pas toujours utilisables en télétravail : OSIRIS, CHORUS, ...",Oui,Courriels / Lettre d'information;Enquête en ligne;Web ou audio conférences,,Non,,Je ne sais pas encore,,"Amélioration des possibilités VPN, accessibilité de toutes les applications métiers en télétravail",BWMQ-SD78,06/05/2020 12:07:13,,06/05/2020 12:13:23,369.4895704,FR,Terminé,Direct,PC
188,Interieur,Directeur.trice (territoriale),,DDCSPP,Bourgogne-Franche-Comté,Pas suffisamment,"Manque de postes équipés de VPN
VPN saturé trop fréquemment",Jamais,2,"Réunion en audio conf.
Présence agents au siège alternée sur journée (plage d'ouverture allongée) ou semaine",Très utile,Non utilisé,Non utilisé,Non utilisé,Utile,Utile,Non utilisé,Inconnu,Pas utile,Inconnu,Très utile,Non,,Disponibilité VPN Carinae,Oui mais insuffisamment,Courriels / Lettre d'information;Autre,"Bilatérales et CODIR préf
Codir DD en audio
Réunions (audio conf) avec OS",Pas encore,,Oui,Extension du télétravail probablement pour certains agents,"Les équipements informatiques ne sont pas convenablement dimensionnés (VPN).
L'utilisation de systèmes d'audio/visio conf grand public est intéressant mais sont il assez sécurisés ?",36X6-E9U7,06/05/2020 11:42:17,,06/05/2020 12:14:11,1913.7579347,FR,Terminé,Direct,PC
189,Services du Premier ministre,Directeur.trice (territoriale),,DDCSPP,Grand Est,Pas suffisamment,Manque de matériel pour le télétravail,Dès la 1ère semaine,1,Utilisation du réseau en dehors des horaires de journée pour avoir de la bande passante,Très utile,Non utilisé,Non utilisé,Non utilisé,Non utilisé,Non utilisé,Non utilisé,Utile,Pas utile,Non utilisé,Très utile,Non,,,Oui mais insuffisamment,Web ou audio conférences,,Oui,Beaucoup de temps en audioconférence,Oui,Télétravail et réunion audio,Réseau informatique sous dimensionné pour autant de télétravailleurs. Pas assez d'ordinateurs portables pour permettre le télétravail.,GZ7A-D45C,06/05/2020 12:13:23,,06/05/2020 12:19:10,346.2510263,FR,Terminé,Direct,PC
190,Services du Premier ministre,Directeur.trice (territoriale),,Direction Départementale des Territoires et de la Mer du Finistère,Bretagne,Pas suffisamment,Manque d'outil disponible pour le travail à distance (VPN en particulier) et inadaptation des postes de travail (peu d'ordinateurs portables),Dès la 1ère semaine,3,"Outre le télétravail sensu stricto, un certain nombre de missions ont été réalisé en ""assimilé télétravail"", nécessitant des retours réguliers au bureau soit pour récupérer des dossiers, soit pour des accès ponctuels sur des logiciels non télétravaillables",Très utile,Non utilisé,Non utilisé,Pas utile,Non utilisé,Utile,Très utile,Utile,Pas utile,Pas utile,Très utile,Non,,Limitation des accès VPN principalement,Oui mais insuffisamment,Courriels / Lettre d'information,,Pas encore,,Oui,Visio conférences,"Au final activité plutôt satisfaisante au vu des circonstances mais nécessité pour l'avenir de mieux anticiper :

- renforcer le recours au télétravail ""normal"" soit 1 à 2 jours par semaine (durant la crise beaucoup d'agents non préparés à télétravailler se sont retrouvés brutalement en télétravail 5jours/5
- se doter d'outils performants pour les visioconférences depuis un ordinateur pour limiter les réunions en présentiel
- adapter les logiciels métiers pour permettre une gestion en télétravail",979E-V4DJ,06/05/2020 12:05:11,,06/05/2020 12:19:53,882.2627951,FR,Terminé,Direct,PC
191,Services du Premier ministre,Sous-directeur.trice (territoriale),,DDCS 84,Provence-Alpes-Côte d'Azur,Oui,,Dès la 1ère semaine,3,"L'adaptation de notre organisation a été préparée dès les annonces gouvernementales, soit quelques jours avant le début du confinement (déclenchement du PCA - plan de continuité de l'activité ; anticipation de l'organisation en travail à distance et télétravail).

Travail à distance (télétravail pour les agents qui disposent du matériel dédié) pour l'ensemble des agents, excepté la direction, quelques cadres particulièrement mobilisés par la crise, une partie des agents des fonctions support. Pour les agents venant travailler sur place, alternance avec télétravail et système de roulement.

Contacts téléphoniques et électroniques réguliers de chaque chef de pôle avec ses agents ; compte-rendu quotidien de l'activité de chaque service à la direction.
Comités de direction hebdomadaires en audio conférence.

Information régulière à tous les agents par messagerie électronique. Edition d'une ""lettre COVID"" interne (1 numéro sorti, 1 en préparation). Audioconférences ""informelles"" avec les organisations syndicales. Un CHSCT en audioconférence.",Très utile,Non utilisé,Non utilisé,Non utilisé,Non utilisé,Non utilisé,Utile,Non utilisé,Non utilisé,Non utilisé,Très utile,Non,,"Pour la plupart de nos missions l'accès au réseau informatique interne de la DDCS est nécessaire.
Aussi seuls les agents disposant des ressources ""télétravail"" (matériel informatique + accès Carinae) avant la crise avaient accès au réseau (une dizaine d'agents).
Dès le début du confinement des accès supplémentaires au télétravail ont été ouverts, mais ces accès sont limités pour 2 motifs principaux :
- bande passante insuffisante pour de nombreux accès Carinae à certains horaires
- limites du budget de fonctionnement pour acquérir de nouveaux matériels informatiques.
Les autres agents sont en ""travail à distance"" (accès messagerie professionnelle + clé USB).

Le système d'audioconférence gratuit du ministère est arrivé tardivement, aussi nous avons du utiliser le système ""réunion flash"" d'Orange qui est coûteux.

Pour la visioconférence nous utilisions le système Zoom, qui par la suite a été proscrit par notre service informatique. Le système Jitsi a connu quelques ratés. De ce fait nous n'organisons plus de visioconférence.",Oui mais insuffisamment,Courriels / Lettre d'information;Web ou audio conférences,,Pas encore,,Oui,"Possibilité d'étendre le champ du télétravail, sur demande des agents.","Montée en puissance du télétravail avec des premiers retours positifs des agents (à confirmer par retour d'expérience formalisé).
Cette montée en puissance a été rendue possible par l'assouplissement des règles de gestion de certaines applications métier (notamment Chorus, Gispro....), assouplissements qu'il conviendrait de maintenir.

Le fait que nous ayons développé le télétravail avant la crise a constitué un atout déterminant, puisque de ce fait nous avons pu nous mettre rapidement en ordre de marche pour le développer de manière rapide et importante.

Nécessité d'améliorer la bande passante de nos réseaux informatiques, que ce soit pour le télétravail ou la visioconférence.",BPHW-Q2WQ,06/05/2020 11:26:06,,06/05/2020 12:23:11,3424.3750078,FR,Terminé,Direct,PC
192,Agriculture et Alimentation,Autre,Adjoint au chef de service,DDPP - Service sécurité sanitaire des aliments,,Oui,,La 2ème semaine,4,"Information de tous sur les sites à utiliser.
Contacts téléphoniques fréquents.
Planning hebdomadaire permettant d'assurer une rotation entre agents en présentiel et en télétravail.",Très utile,Non utilisé,Non utilisé,Non utilisé,Inconnu,Inconnu,Non utilisé,Inconnu,Pas utile,Non utilisé,Utile,Oui,Intervention du SIDSIC à distance pour installation du VPN sur mon portable pro après une semaine d'utilisation de mon portable personnel (de meilleure qualité) avec Mélanieweb.,Les dossiers se trouvant sur le réseau interne sont inaccessibles en télétravail ce qui nécessite d'anticiper les besoins en les téléchargeant au préalable sur le bureau.,Oui mais insuffisamment,Courriels / Lettre d'information;Autre,Téléphone : appels et sms.,Oui,"Il existe des difficultés liées soit à la qualité du matériel informatique dont disposent les agents à domicile, soit à la présence au sein du foyer d'autres personnes nécessitant ce matériel, soit au manque d'aisance de certains qui utilisent peu/pas l'informatique hors de leur travail.",Je ne sais pas encore,,"​- : Difficultés effectives lors de réunions en audio avec une partie des participants en présentiel. Pour les personnes en positionnement ""audio"" et non en présentiel, le matériel à disposition ne permettait généralement de comprendre que la personne la plus proche du micro. Le reste du temps se passe en brouhaha diffus ou silences. La plupart des échanges entre les participants en présentiel échappe donc à ceux positionnés en audio ce qui peut être source non seulement de frustration (pénibilité à rester 2-3h au téléphone pour ne recueillir qu'une petite partie des propos) mais également d'erreur car les personnes assistant à la réunion n'en sortent pas avec le même degré d'information.

+ : Les entretiens téléphoniques à deux sont en revanche efficaces et ont même permis sans difficulté aucune la réalisation de plusieurs entretiens professionnels à distance (sur la base du volontariat).",KVJA-M7L8,06/05/2020 11:57:24,,06/05/2020 12:24:27,1623.6137831,FR,Terminé,Direct,PC
193,Interieur,Autre,Conseillère budgétaire du DGPN,Direction Générale de la Police Nationale,,Oui,,Dès la 1ère semaine,5,"je n'ai pas réorganisé fondamentalement l'organisation du service. En revanche, on a beaucoup échangé par téléphone, par messages et en faisant des points réguliers afin de ne pas isoler les agents en télétravail et de conserver un lien.",Très utile,Non utilisé,Non utilisé,Très utile,Très utile,Non utilisé,Utile,Très utile,Non utilisé,Non utilisé,Très utile,Non,,"pas de difficultés particulières, si ce n'est des coupures de réseau temporaires et ponctuelles",Oui,Courriels / Lettre d'information,,Non,,Je ne sais pas encore,,"c'est un succès qui devrait être développé de manière pérenne, même si une alternance en présentiel demeure indispensable pour la socialisation des agents",A2J2-J9BK,06/05/2020 11:35:00,,06/05/2020 12:28:42,3221.8653154,FR,Terminé,Direct,PC
194,Affaires Etrangères,Chef.fe de service (centrale),,direction des Français à l'étranger et de l'administration consulaire,,Oui,,Dès la 1ère semaine,5,"Usage intensif de la conf call, qui se substitue utilement aux réunions dans un contexte de recentrage sur l'essentiel.
95% des agents de la direction qui ne sont pas autorisation spéciale d'absence sont en position de travail à distance, une fraction très résiduelle étant en présentiel.",Très utile,Non utilisé,Non utilisé,Pas utile,Utile,Non utilisé,Non utilisé,Très utile,Inconnu,Utile,Très utile,Non,,"Pas de difficulté particulière d'usage, dès lors que les outils sécurisés propres au ministre sont mis en œuvre (dotation d'ordinateurs portables et le cas échéant de smartphones) ; situation plus complexe lorsque les agents sont mobilisés à travers leurs outils personnels (accès plus restreint aux ressources) et peu soutenable sur le long terme.",Oui mais insuffisamment,Courriels / Lettre d'information;Réseau social;Site Web,,Non,,Oui,"Encourager le télétravail, au delà du travail à distance de crise, pour les agents qui le souhaitent.

La conf call est un outil efficace et permet de limiter les déplacements ; sachant qu'elle est cependant déjà dans la culture d'un ministère pilotant un réseau mondial et dont l'administration centrale est en outre répartie sur plusieurs sites (Paris et Nantes)","Succès du travail à distance mais dont le développement sur la durée est soumis à deux limites : 
- une question d'équipement des agents en nombre suffisant ; 
- une question plus complexe d'inscription dans le droit de la dématérialisation des procédures, sur l'entièreté des processus concernés.",4DFK-UY4C,06/05/2020 11:23:08,,06/05/2020 12:30:28,4039.557826,FR,Terminé,Direct,PC
195,Affaires Etrangères,Sous-directeur.trice (centrale),,sous-direction de l'état civil et de la nationalité,,Pas suffisamment,"La demande de télétravail est forte et, avant même le confinement, les ordinateurs portables sécurisés étaient en nombre insuffisant.",La 2ème semaine,4,"Priorité mises sur :
1/ la délivrance dématérialisée des actes d'état civil
2/ gestion RH à distance",Très utile,Utile,Non utilisé,Utile,Très utile,Non utilisé,Non utilisé,Non utilisé,Inconnu,Non utilisé,Très utile,Non,,"Quelques interruptions de réseau, assez rapidement résolues.
Insuffisance du nombre de stations informatiques mobiles.",Oui mais insuffisamment,Courriels / Lettre d'information;Réseau social;Web ou audio conférences,,Pas encore,,Je ne sais pas encore,,,JQD4-LZUG,06/05/2020 12:21:30,,06/05/2020 12:30:55,564.9917811,FR,Terminé,Direct,PC
